open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,volume_sma,signal,capital
1759276800000000,208.68,209.35,208.65,209.33,17279.363,1759277099999999,3612626.60526,5690,14195.342,2967537.86779,0,,0,1000000.0
1759277100000000,209.33,209.42,208.93,209.0,5514.216,1759277399999999,1153327.27283,3669,3133.602,655524.58801,0,,0,1000000.0
1759277400000000,209.01,209.04,208.53,208.54,6853.043,1759277699999999,1430613.65149,3407,3500.943,730788.94787,0,,0,1000000.0
1759277700000000,208.54,208.55,208.0,208.17,4988.569,1759277999999999,1038653.56756,4605,1536.14,319802.49553,0,,0,1000000.0
1759278000000000,208.18,208.22,207.68,207.78,19336.229,1759278299999999,4019342.47693,4797,10542.608,2191100.34406,0,,0,1000000.0
1759278300000000,207.78,208.04,207.54,207.59,7525.672,1759278599999999,1564237.54978,4511,3686.605,766374.11764,0,,0,1000000.0
1759278600000000,207.6,207.83,207.32,207.79,10153.342,1759278899999999,2107463.90124,6359,5073.42,1053193.36285,0,,0,1000000.0
1759278900000000,207.79,207.84,206.85,206.97,11455.565,1759279199999999,2372763.22747,6875,5635.116,1166999.21443,0,,0,1000000.0
1759279200000000,206.96,206.97,206.43,206.63,11955.007,1759279499999999,2470077.4254,5637,5629.581,1163001.60151,0,,0,1000000.0
1759279500000000,206.63,206.86,206.44,206.65,7769.035,1759279799999999,1605617.81869,5426,3316.639,685472.03596,0,,0,1000000.0
1759279800000000,206.65,207.54,206.64,207.42,11375.062,1759280099999999,2354830.78278,5904,8982.255,1859468.95238,0,,0,1000000.0
1759280100000000,207.41,207.62,207.4,207.54,5577.181,1759280399999999,1157171.32965,3821,3580.481,742878.08354,0,,0,1000000.0
1759280400000000,207.53,207.63,207.13,207.56,12206.754,1759280699999999,2531865.68538,5823,4207.551,872580.13454,0,,0,1000000.0
1759280700000000,207.56,207.91,207.55,207.9,5906.325,1759280999999999,1227065.63066,5320,2626.902,545772.91487,0,,0,1000000.0
1759281000000000,207.9,208.24,207.81,208.02,8582.707,1759281299999999,1785601.98775,5099,4919.842,1023528.20376,0,,0,1000000.0
1759281300000000,208.02,208.3,207.55,207.64,10585.64,1759281599999999,2201765.32195,7434,4676.134,972678.58889,0,,0,1000000.0
1759281600000000,207.65,208.57,207.37,208.44,21825.625,1759281899999999,4538825.42767,10158,14281.134,2971227.68637,0,,0,1000000.0
1759281900000000,208.44,209.08,208.36,208.99,20283.815,1759282199999999,4235680.52597,9212,11034.192,2303934.20117,0,,0,1000000.0
1759282200000000,208.98,209.19,208.39,208.47,11134.345,1759282499999999,2323831.14558,5128,4876.051,1017627.01578,0,,0,1000000.0
1759282500000000,208.47,209.28,208.4,209.26,12715.835,1759282799999999,2657182.03109,7044,9077.799,1897246.14863,0,11151.1665,0,1000000.0
1759282800000000,209.27,210.01,209.25,209.85,19721.124,1759283099999999,4135929.80827,10155,9603.197,2013956.15348,0,11273.25455,0,1000000.0
1759283100000000,209.85,210.69,209.82,210.39,14491.537,1759283399999999,3046533.33039,9895,8005.827,1683022.32362,0,11722.1206,0,1000000.0
1759283400000000,210.39,210.39,209.7,210.29,14690.173,1759283699999999,3086071.31101,7658,6125.664,1286734.24089,0,12113.9771,0,1000000.0
1759283700000000,210.3,210.73,210.12,210.59,15124.75,1759283999999999,3182696.3436,7553,6685.502,1406578.56373,0,12620.78615,0,1000000.0
1759284000000000,210.58,210.76,210.16,210.55,14481.534,1759284299999999,3048336.4001,9082,8617.008,1813858.14267,0,12378.0514,0,1000000.0
1759284300000000,210.55,210.86,210.55,210.81,13999.124,1759284599999999,2950263.14779,6874,9314.75,1963062.90413,0,12701.723999999998,0,1000000.0
1759284600000000,210.8,210.9,210.33,210.35,14501.373,1759284899999999,3052085.1807,4954,8630.167,1816403.4725,0,12919.12555,0,1000000.0
1759284900000000,210.34,210.5,210.12,210.42,20337.928,1759285199999999,4278007.40523,6907,12987.342,2731820.47072,0,13363.2437,0,1000000.0
1759285200000000,210.42,210.46,210.08,210.09,13077.623,1759285499999999,2749951.04456,4777,5326.503,1120083.83034,0,13419.3745,0,1000000.0
1759285500000000,210.09,210.24,209.99,210.16,14661.531,1759285799999999,3080700.52449,4435,9358.569,1966467.13331,0,13763.9993,0,1000000.0
1759285800000000,210.17,210.42,209.57,209.95,9749.444,1759286099999999,2046114.65154,6555,3338.458,700504.71064,0,13682.718400000002,0,1000000.0
1759286100000000,209.95,210.37,209.88,210.15,7842.514,1759286399999999,1647769.09689,4905,3159.242,663713.04431,0,13795.98505,0,1000000.0
1759286400000000,210.14,210.14,209.62,209.63,7403.217,1759286699999999,1553214.80823,4742,1800.571,377807.25717,0,13555.808200000003,0,1000000.0
1759286700000000,209.63,209.83,209.47,209.65,9471.059,1759286999999999,1985547.3544,6453,5013.644,1051056.44722,0,13734.044900000003,0,1000000.0
1759287000000000,209.65,209.75,209.3,209.57,6236.584,1759287299999999,1306685.41369,5448,2566.537,537687.20412,0,13616.73875,0,1000000.0
1759287300000000,209.57,209.63,209.15,209.19,4871.613,1759287599999999,1019783.12896,3355,1878.643,393267.87369,0,13331.037400000001,0,1000000.0
1759287600000000,209.19,209.39,209.0,209.0,7723.589,1759287899999999,1615629.57849,5310,2720.851,569144.21443,0,12625.9356,0,1000000.0
1759287900000000,209.01,209.5,208.95,209.27,9916.654,1759288199999999,2074898.83662,4762,5086.612,1064180.90205,0,12107.57755,0,1000000.0
1759288200000000,209.27,209.59,209.16,209.48,5943.088,1759288499999999,1244635.72777,4050,3261.132,682924.36492,0,11848.0147,0,1000000.0
1759288500000000,209.48,209.55,208.84,208.99,6482.087,1759288799999999,1356106.61002,5662,1991.535,416692.98175,0,11536.3273,0,1000000.0
1759288800000000,208.99,209.24,208.66,208.95,10645.269,1759289099999999,2223418.94385,5504,6205.957,1296162.74745,0,11082.53455,0,1000000.0
1759289100000000,208.95,209.31,208.74,208.84,7287.784,1759289399999999,1523508.42529,4597,3503.623,732432.2935,0,10722.3469,0,1000000.0
1759289400000000,208.84,209.18,208.79,209.17,8001.447,1759289699999999,1672172.47292,5239,4118.056,860536.94073,0,10387.9106,0,1000000.0
1759289700000000,209.18,209.35,208.78,208.83,5352.069,1759289999999999,1118871.34841,3926,2170.607,453661.75168,0,9899.27655,0,1000000.0
1759290000000000,208.82,208.83,207.7,207.91,32291.399,1759290299999999,6719109.51349,8328,8062.521,1676894.57481,0,10789.7698,0,1000000.0
1759290300000000,207.9,207.91,206.88,207.0,53507.364,1759290599999999,11095110.73916,13859,34523.557,7158032.8745,0,12765.1818,0,1000000.0
1759290600000000,207.0,207.3,206.68,206.91,21287.422,1759290899999999,4404670.45389,11686,7779.903,1609720.14872,0,13104.48425,0,1000000.0
1759290900000000,206.91,206.91,206.6,206.69,13333.045,1759291199999999,2756919.85091,6303,7627.36,1577139.14834,0,12754.240099999999,0,1000000.0
1759291200000000,206.68,207.76,206.31,207.6,18072.314,1759291499999999,3745888.22902,14227,10159.813,2106297.291,0,13003.97465,0,1000000.0
1759291500000000,207.59,208.23,207.59,207.82,18132.976,1759291799999999,3770886.25877,11269,11323.805,2354502.78679,0,13177.546899999998,0,1000000.0
1759291800000000,207.82,208.12,207.73,208.12,6818.065,1759292099999999,1417824.70686,6414,2732.108,568120.17905,0,13030.97795,0,1000000.0
1759292100000000,208.12,208.83,208.1,208.75,11461.795,1759292399999999,2389354.0207,7736,5709.108,1190068.09442,0,13211.942000000001,0,1000000.0
1759292400000000,208.76,208.93,208.4,208.85,14296.547,1759292699999999,2984278.1068,7678,7387.055,1541969.29345,0,13556.608499999998,0,1000000.0
1759292700000000,208.85,209.03,208.62,209.02,9114.21,1759292999999999,1903272.74698,6032,4535.787,947176.28313,0,13538.76605,0,1000000.0
1759293000000000,209.03,209.5,208.79,208.79,17744.075,1759293299999999,3712338.9295,10175,10007.143,2093671.38063,0,14114.140600000002,0,1000000.0
